"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MSTRG.10|AMX2",488.900389911952,2.78150681442999,0.513677999338061,5.41488406747868,6.13284288357274e-08,7.16911295316467e-07
"MSTRG.22",33.3214136715309,-1.10137253110582,0.427207529300499,-2.57807378280338,0.00993527813953102,0.0342181654814264
"MSTRG.20",29.3897654056809,-1.51724954849462,0.454027653225936,-3.34175581093867,0.00083250264545012,0.00415545590498148
"MSTRG.2|ZRT2",56.6979137640026,-5.37926323953507,0.607135919910214,-8.86006421812529,7.99683605318849e-19,3.34562367298923e-17
"MSTRG.4|CGI58",676.41612509366,1.9411291527415,0.275596492062627,7.04337394940568,1.87639750947173e-12,4.33589645429965e-11
"MSTRG.19",54.9940755282044,-3.1795684324448,0.464772601088497,-6.84112709096503,7.85725087232736e-12,1.66330991169455e-10
"MSTRG.16",17.9445199935659,-5.15020211075535,1.08988755302359,-4.7254435528395,2.29613611919262e-06,2.01764808732388e-05
"MSTRG.17",433.554124305193,-1.47491357330447,0.324764616383943,-4.54148481360667,5.5859410374343e-06,4.54945136337759e-05
"MSTRG.53",3.59393449273141,-4.26447775602047,1.60198188855761,-2.66200122890286,0.00776775948741502,0.027876938468839
"MSTRG.37",22.0724932768491,-3.07058261920533,0.633401221996638,-4.84776870105507,1.24857854106757e-06,1.16421710533093e-05
"MSTRG.46",169.33462402566,-1.49556065665586,0.24539518777537,-6.09449871537359,1.09780914301157e-09,1.68627727107226e-08
"MSTRG.29",5.63990302056146,-5.93814530204322,1.43765759074481,-4.13043087608006,3.62083956754315e-05,0.000250605604896827
"MSTRG.44|CYN19B",2562.28102113752,-1.35059828316261,0.403274372765732,-3.34908036407062,0.000810802742985682,0.00405477886378936
"MSTRG.47|COP21",914.905255869823,-1.48353683061733,0.298614145008956,-4.96807286397246,6.7621555498887e-07,6.59538337006935e-06
"MSTRG.75|CYP747A1",339.910147678322,-3.25504259693095,0.482749675844102,-6.74271316959337,1.55455916335406e-11,3.12444773438721e-10
"MSTRG.78",473.233754885912,-1.13150866295851,0.196066249009919,-5.77105273688012,7.87778132453956e-09,1.06226435536497e-07
"MSTRG.90",4.99850731145829,-3.75727254686901,1.36861378051283,-2.74531252013343,0.00604532977780946,0.0225554219215242
"MSTRG.91",45.956497568867,3.1195771428422,0.511370667084661,6.10042253816982,1.05788439755616e-09,1.62809740100172e-08
"MSTRG.84",43.2115145457065,-1.82183644729552,0.469745395471062,-3.87834870732171,0.000105167898618277,0.000658251674107626
"MSTRG.85|CPLD42",638.552704288142,-3.32870740451975,0.197977205862453,-16.8135891706261,1.94057643190844e-63,6.17025682289606e-61
"MSTRG.92",2173.92146215401,2.77983532232138,0.237059004073482,11.726343545507,9.34071320176193e-32,7.98379884309737e-30
"MSTRG.94",495.237318965333,1.21925153048186,0.306665890265005,3.97583027387966,7.01341338446305e-05,0.000459222594671308
"MSTRG.100",68.4561818675329,1.19923047920018,0.374803219034064,3.19962694635018,0.00137605572355508,0.00638959404419404
"MSTRG.108|FAP23",156.417616163463,-1.8417603163224,0.516732048424937,-3.56424634766957,0.000364903127767585,0.00200193029133186
"MSTRG.110",384.173332619727,-1.54207886406208,0.264981630047825,-5.81956894062338,5.89995855106774e-09,8.0720775425882e-08
"MSTRG.117",100.799984334823,1.08753431083464,0.286677984554465,3.79357456598842,0.000148494010884042,0.000898309659449962
"MSTRG.118",12.3557253206056,1.73280501702785,0.62137225118119,2.78867460485063,0.00529242102022886,0.0202014188186311
