"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MSTRG.13|CGL136",20.8915640141502,-0.89063790842846,0.477561377253483,-1.86497055844556,0.0621855311259185,0.153847739470877
"MSTRG.10|AMX2",488.900389911952,2.78150681442999,0.513677999338061,5.41488406747868,6.13284288357274e-08,7.16911295316467e-07
"MSTRG.11",29.7739300487826,0.350660491161375,0.428162545476227,0.818989177979943,0.412792588010832,0.613439574144345
"MSTRG.12",127.58238525574,0.439073750674366,0.228376850966434,1.92258431104692,0.0545322758918016,0.138690469065407
"MSTRG.14|CPLD38",350.194521400897,-0.800232285200377,0.167212120428442,-4.78573134022803,1.70365823338392e-06,1.53978161423181e-05
"MSTRG.15|CPLD20",485.651503786381,0.425935435387182,0.153399562498586,2.77664048351578,0.00549238938352547,0.0208396196704744
"Cre01.g001250_4532.v6.1",2.64985485606286,-0.0963307005338134,1.61014703868408,-0.0598272693235155,0.952293206692613,0.988028284278481
"Cre01.g001300_4532.v6.1",14.7801577987944,-0.901668478052262,0.674937078336931,-1.33592968439962,0.18157225737303,0.347745542430602
"MSTRG.22",33.3214136715309,-1.10137253110582,0.427207529300499,-2.57807378280338,0.00993527813953102,0.0342181654814264
"MSTRG.21",98.6252838060711,-0.00260769936842925,0.405990361304519,-0.00642305733577085,0.994875176956659,0.999980657572252
"MSTRG.20",29.3897654056809,-1.51724954849462,0.454027653225936,-3.34175581093867,0.00083250264545012,0.00415545590498148
"MSTRG.1",68.4432706897487,-0.544832580777638,0.312557622142989,-1.74314283888552,0.0813086672343325,0.188942091990522
"MSTRG.3",261.907556223038,0.114734012121409,0.176169692031685,0.651269868263005,0.51487229556932,0.705276559965625
"MSTRG.6",104.831907082749,0.262967558848037,0.244266233700361,1.07656123756596,0.281676329177986,0.475457558796118
"MSTRG.8",4.89208323669495,-0.0883188273740992,0.869952123494914,-0.101521480307779,0.919136506829681,0.967198317816936
"MSTRG.9",163.992865816169,0.434201709296228,0.244969457662968,1.77247283575085,0.076316100609462,0.180094174336249
"MSTRG.1|RWP14",150.868741948294,0.457433538250571,0.222259870182206,2.05810224704789,0.0395803193668194,0.107490949968885
"MSTRG.2|ZRT2",56.6979137640026,-5.37926323953507,0.607135919910214,-8.86006421812529,7.99683605318849e-19,3.34562367298923e-17
"MSTRG.4|CGI58",676.41612509366,1.9411291527415,0.275596492062627,7.04337394940568,1.87639750947173e-12,4.33589645429965e-11
"MSTRG.5",382.510859908211,-0.672954777064225,0.182301984814103,-3.69142869042512,0.000222997920101704,0.00129624165768807
"MSTRG.7",49.4195165670895,-0.620629714349074,0.391498637647798,-1.58526660035892,0.112905774207452,0.243717039830289
"MSTRG.25",45.349768696609,-0.170468613934801,0.312079077228161,-0.546235317820335,0.584904191820175,0.760388518196049
"MSTRG.24|CIF3",427.051929985546,0.1887135218572,0.191685168860628,0.984497251294446,0.324871082285666,0.523473372351604
"MSTRG.23|RAA11",13.7559036245113,0.308016339070192,0.518948464220493,0.593539359506267,0.552820250231541,0.73471409515507
"Cre01.g000950_4532.v6.1",2.00265894072604,1.09156138370713,2.07628819091519,0.525727299554689,0.599077693189104,0.77081071271612
"MSTRG.19",54.9940755282044,-3.1795684324448,0.464772601088497,-6.84112709096503,7.85725087232736e-12,1.66330991169455e-10
"MSTRG.16",17.9445199935659,-5.15020211075535,1.08988755302359,-4.7254435528395,2.29613611919262e-06,2.01764808732388e-05
"MSTRG.17",433.554124305193,-1.47491357330447,0.324764616383943,-4.54148481360667,5.5859410374343e-06,4.54945136337759e-05
"MSTRG.18",152.930759889399,0.169502923345841,0.284448433781018,0.595900357378421,0.551241794476168,0.733856036976591
"MSTRG.27|PF22",21.3075352724275,-0.446760230780012,0.481544827204884,-0.92776457255957,0.353529704820098,0.554008402881214
"MSTRG.26",7.85183274342619,0.103447746233827,0.783421973512896,0.132046010619236,0.894947899135129,0.95258982997123
