"","SRR066643","SRR066644","SRR066645","SRR066646","SRR066647","SRR066648"
"MSTRG.13|CGL136",21,25.6180037745102,34.8712595056275,14.425906008251,11.4699355970362,17.9642791994764
"MSTRG.10|AMX2",49,79.700456187365,244.098816539393,800.08294091915,788.558072296239,971.962053529565
"MSTRG.11",27,18.9762990922298,32.7578498386198,27.7421269389442,28.6748389925905,43.4924654303113
"MSTRG.12",105,97.7279403249833,122.577760686448,133.162209306932,151.02081869431,156.005582521769
"MSTRG.14|CPLD38",423,440.250138939731,471.290355742723,268.54378876898,244.691959403439,253.390885550509
"MSTRG.15|CPLD20",400,435.506064166673,407.888065732492,547.074743235979,542.91028492638,580.529864656763
"Cre01.g001250_4532.v6.1",3,0,5.28352416751932,0,4.77913983209842,2.83646513675943
"Cre01.g001300_4532.v6.1",10,16.1298542283953,31.7011450051159,9.9871656980199,5.7349677985181,15.127814062717
"MSTRG.22",31,57.8777122313008,47.5517175076739,18.864646318482,18.160731361974,26.4736746097547
"MSTRG.21",84,135.680538509443,76.0827480122782,133.162209306932,106.096904272585,56.7293027351886
"MSTRG.20",52,51.2360075490204,27.4743256711005,13.3162209306932,15.2932474627149,17.0187908205566
"MSTRG.1",80,72.1099365504731,91.9333205148362,42.1680329471952,54.482194085922,69.9661400400659
"MSTRG.3",258,232.459663879815,264.176208375966,274.092214156768,262.852690765413,279.864560160264
"MSTRG.6",92,100.574385188818,92.9900253483401,134.27189438449,106.096904272585,103.058233302259
"MSTRG.8",6,3.79525981844595,5.28352416751932,6.6581104653466,4.77913983209842,2.83646513675943
"MSTRG.9",119,174.581951648514,124.691170353456,185.317407952147,200.723872948134,179.642791994764
"MSTRG.1|RWP14",133,138.526983373277,109.897302684402,159.794651168318,173.004861921963,190.988652541802
"MSTRG.2|ZRT2",96,96.7791253703718,139.48503802251,2.21937015511553,2.86748389925905,2.83646513675943
"MSTRG.4|CGI58",268,191.660620831521,379.357035227887,1105.24633724754,1060.01321475943,1054.21954249559
"MSTRG.5",436,468.714587578075,506.161615248351,267.434103691422,289.615873825164,327.138979106254
"MSTRG.7",43,53.1336374582433,83.4796818468053,46.6067732574262,30.5864949254299,39.710511914632
"MSTRG.25",54,44.5943028667399,45.4383078406662,44.3874031023107,43.9680864553055,39.710511914632
"MSTRG.24|CIF3",379,399.451095891437,419.511818901034,388.389777145218,456.885767948609,519.073120026976
"MSTRG.23|RAA11",12,13.2834093645608,11.6237531685425,13.3162209306932,15.2932474627149,17.0187908205566
"Cre01.g000950_4532.v6.1",0,3.79525981844595,0,4.43874031023107,0,3.78195351567924
"MSTRG.19",62,95.8303104157603,139.48503802251,8.87748062046214,12.4257635634559,11.3458605470377
"MSTRG.16",33,55.9800823220778,15.850572502558,0,0,2.83646513675943
"MSTRG.17",660,875.756203106404,377.24362556088,219.717645356438,229.398711940724,239.208559866712
"MSTRG.18",153,117.653054371825,161.675839526091,124.28472868647,155.799958526408,205.170978225599
"MSTRG.27|PF22",24,25.6180037745102,24.3042111705889,11.0968507755777,25.8073550933315,17.0187908205566
"MSTRG.26",6,12.3345944099493,4.22681933401546,12.2065358531354,4.77913983209842,7.56390703135848
"MSTRG.28",747,675.55624768338,440.645915571111,543.745688003306,527.617037463665,534.200934089693
"Cre01.g002650_4532.v6.1",0,0.948814954611488,0,0,0,0
"MSTRG.50",14,11.3857794553379,26.4176208375966,22.1937015511553,17.2049033955543,17.9642791994764
"MSTRG.49",42,55.0312673674663,53.8919465086971,38.8389777145218,49.7030542538236,48.2199073249103
"MSTRG.65",0,0,3.17011450051159,0,0,0
"MSTRG.64",217,289.388561156504,134.201513854991,138.710634694721,132.860087332336,142.768745216891
"MSTRG.68",112,87.2909758242569,264.176208375966,75.4585852739282,110.876044104683,94.548837891981
"MSTRG.67",133,144.219873100946,129.974694520975,79.8973255841592,131.904259365916,139.932280080132
"MSTRG.66",53,63.5706019589697,71.8559286782628,52.1551986452151,56.3938500187613,60.5112562508678
"MSTRG.70",76,71.1611215958616,113.067417184913,87.6651211270636,79.3337212128338,94.548837891981
"MSTRG.69",222,240.050183516707,341.315661221748,311.821506793733,290.571701791584,353.612653716009
"MSTRG.71",299,160.349727329342,235.645177871362,355.099224818485,355.568003508122,360.231072368448
"MSTRG.72",166,170.786691830068,126.804580020464,224.156385666669,192.121421250356,173.969861721245
"MSTRG.73",55,48.3895626851859,51.7785368416893,64.3617344983505,65.9521296829582,86.0394424817027
"Cre01.g003751_4532.v6.1",10,10.4369645007264,17.9639821695657,13.3162209306932,10.5141076306165,13.2368373048773
"MSTRG.52",145,134.731723554831,151.108791191053,126.504098841585,123.301807668139,157.896559279608
"MSTRG.55",18,12.3345944099493,7.39693383452705,13.3162209306932,11.4699355970362,18.9097675783962
"MSTRG.56|SEC8",39,53.1336374582433,25.3609160040927,26.6324418613864,33.4539788246889,36.8740467778726
"MSTRG.63",59,84.4445309604225,83.4796818468053,73.2392151188126,75.510409347155,75.6390703135848
"MSTRG.51",250,173.633136693902,246.2122262064,145.368745160067,146.241678862212,186.261210647203
"MSTRG.53",3,12.3345944099493,5.28352416751932,0,0,0.94548837891981
"MSTRG.54",70,97.7279403249833,77.1394528457821,54.3745688003306,58.3055059516007,58.6202794930282
"MSTRG.57",8,0,0,0,0,0
"MSTRG.58",125,118.601869326436,81.3662721797975,166.452761633665,168.225722089864,176.806326858004
"MSTRG.59",74,69.2634916866386,62.345585176728,43.2777180247529,36.321462723948,26.4736746097547
"MSTRG.60",11,9.48814954611488,11.6237531685425,14.425906008251,15.2932474627149,16.0733024416368
"MSTRG.61",4,0,0,0,0,0
"MSTRG.62",155,193.558250740744,62.345585176728,254.117882760729,267.631830597512,267.573211234306
"MSTRG.74",394,391.860576254545,289.537124380059,230.814496132016,225.575400075045,191.934140920721
"Cre01.g800007_4532.v6.1",2,1.89762990922298,0,3.3290552326733,2.86748389925905,2.83646513675943
"MSTRG.33|FAP403",163,165.093802102399,193.376984531207,208.62079458086,174.916517854802,182.479257131523
"MSTRG.35",437,342.522198614747,390.98078839643,309.602136638617,290.571701791584,236.372094729952
"MSTRG.37",36,57.8777122313008,24.3042111705889,6.6581104653466,2.86748389925905,4.72744189459905
"MSTRG.42",48,42.696672957517,32.7578498386198,74.3489001963704,83.1570330785125,59.565767871948
"MSTRG.46",248,235.306108743649,267.346322876478,67.6907897310238,92.7153127427093,104.949210060099
"MSTRG.48|FAP335",56,70.2123066412501,107.783893017394,104.31039729043,99.4061085076471,87.9304192395423
"Cre01.g002600_4532.v6.1",0,0,0,0,0,0
"MSTRG.29",14,11.3857794553379,8.45363866803091,0,0,0
"MSTRG.30",137,111.960164644156,116.237531685425,138.710634694721,159.623270392087,147.49618711149
"MSTRG.31",106,116.704239417213,171.186183027626,178.6592974868,175.872345821222,116.295070607137
"MSTRG.32|TIG1",444,546.517413856217,404.71795123198,321.808672491752,285.792561959486,245.826978519151
"MSTRG.34",81,65.4682318681927,81.3662721797975,119.845988376239,103.229420373326,100.2217681655
"MSTRG.36",239,193.558250740744,166.959363693611,233.033866287131,194.988905149616,199.49804795208
"MSTRG.38",152,223.920329288311,98.2735495158594,95.432916669968,99.4061085076471,113.458605470377
"MSTRG.38|RPB6",17,17.0786691830068,27.4743256711005,5.54842538778884,21.9840432276527,24.5826978519151
"MSTRG.39",1,0,0,2.21937015511553,1.91165593283937,4.72744189459905
"MSTRG.40",28,43.6454879121285,21.1340966700773,16.6452761633665,21.028215261233,27.4191629886745
"MSTRG.41",26,21.8227439560642,22.1908015035811,29.9614970940597,41.1006025560464,30.2556281254339
"MSTRG.43",74,64.5194169135812,106.72718818389,90.9941763597369,100.361936474067,133.313861427693
"MSTRG.44|CYN19B",4269,5208.04528586246,1566.03656325273,1556.88816381355,1453.81433692434,1319.90177697205
"MSTRG.45|NAE1",178,170.786691830068,128.917989687471,157.575281013203,134.771743265175,135.204838185533
"MSTRG.47|COP21",840,1397.60442814272,1805.9085604581,484.932378892744,471.223187444904,489.762980280462
"MSTRG.76",1508,205.892845150693,1390.62356089109,1879.80652138286,1904.00930910801,1409.72317296944
"MSTRG.75|CYP747A1",942,573.084232585339,330.74861288671,82.1166957392748,82.2012051120928,29.3101397465141
"MSTRG.77",113,126.192388963328,243.042111705889,76.5682703514859,82.2012051120928,84.1484657238631
"MSTRG.78",537,690.737286957163,721.729401283139,306.273081405944,289.615873825164,294.046885844061
"MSTRG.79",195,109.113719780321,135.258218688495,152.026855625414,148.153334795051,156.951070900688
"MSTRG.80",72,92.9838655519258,116.237531685425,92.1038614372947,88.8920008770306,102.112744923339
"MSTRG.81|TCTEX1",49,60.7241570951352,53.8919465086971,44.3874031023107,35.3656347575283,37.8195351567924
"MSTRG.82|ASN1",1480,1990.6137747749,964.771512989028,1176.26618221123,1063.83652662511,863.230889953787
"MSTRG.83|HLM1",328,326.392344386352,346.599185389267,534.868207382844,441.592520485894,368.740467778726
"MSTRG.89",71,59.7753421405238,81.3662721797975,59.9229941881194,56.3938500187613,44.4379538092311
"MSTRG.90",13,9.48814954611488,5.28352416751932,2.21937015511553,0,0
"MSTRG.91",9,2.84644486383446,16.9072773360618,85.4457509719481,74.5545813807353,86.9849308606225
"MSTRG.88|RWP12",984,755.256703870745,1001.75618216166,796.753885686477,865.980137576234,777.191447472084
"MSTRG.84",48,105.318459961875,48.6084223411778,22.1937015511553,15.2932474627149,19.855255957316
"MSTRG.85|CPLD42",1174,1254.33336999639,1055.64812867036,127.613783919143,121.3901517353,98.3307914076602
"MSTRG.86|LEU1L",1805,1601.59964338419,1789.00128312204,2042.93022778385,2022.53197694405,2039.41843333003
"MSTRG.87|FAP190",121,118.601869326436,135.258218688495,139.820319772279,130.948431399497,173.969861721245
"MSTRG.92",726,485.793256761082,445.929439738631,3989.31785382017,3839.56094110787,3556.92728149633
"MSTRG.93",36,25.6180037745102,41.2114885066507,36.6196075594063,35.3656347575283,35.9285583989528
"Cre01.g800008_4532.v6.1",1,0.948814954611488,0,1.10968507755777,0.955827966419684,0.94548837891981
"MSTRG.94",417,202.097585332247,273.686551877501,811.179791694728,658.565468863162,608.894516024358
"Cre01.g800009_4532.v6.1",0,0.948814954611488,1.05670483350386,0,0,0
"MSTRG.95",356,333.982864023244,291.650534047067,360.647650206274,318.290712817755,314.847630180297
"MSTRG.96|CPLD9",128,122.397129144882,128.917989687471,255.227567838286,221.752088209367,221.244280667236
"MSTRG.100",42,23.7203738652872,59.1754706762164,97.6522868250835,90.80365680987,97.3853030287404
"Cre01.g005400_4532.v6.1",6,4.74407477305744,0,0,0,0
"MSTRG.101|RSP10",87,132.834093645608,126.804580020464,78.7876405066015,72.642925447896,77.5300470714244
"Cre01.g005651_4532.v6.1",0,2.84644486383446,0,4.43874031023107,3.82331186567874,7.56390703135848
"MSTRG.102",171,173.633136693902,199.71721353223,149.807485470299,183.518969552579,170.187908205566
"MSTRG.103",21,24.6691888198987,32.7578498386198,49.9358284900995,33.4539788246889,25.5281862308349
"MSTRG.104|FDX8",8,9.48814954611488,15.850572502558,8.87748062046214,11.4699355970362,13.2368373048773
