Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74
results | qc | raw | SRR066643	(1, 0.026395561001526045)	(2, 0.06318130472411905)	(3, 0.0004023533172167162)	(4, 0.0004260211594059348)	(5, 0.0006212808574669882)	(6, 0.0003905193961221069)	(7, 0.0005798621336358556)	(8, 0.0005798621336358556)	(9, 0.42040596384654266)	(10, 0.0007041183051292533)	(11, 0.00118339210946093)	(12, 0.003011732918578067)	(13, 0.010396099681614271)	(14, 0.02529500633972738)	(15, 0.07748851532750169)	(16, 0.0005976130152777696)	(17, 0.0004674398832370673)	(18, 0.048169975815607155)	(19, 0.0007396200684130813)	(20, 0.0031892417349972065)	(21, 0.0004970246859735905)	(22, 0.0005029416465208952)	(23, 0.0006626995812981207)	(24, 0.07381999978817282)	(25, 0.013354579955266597)	(26, 0.019123616488888627)	(27, 0.017863303892312738)	(28, 0.8741362494955052)	(29, 0.03836557218872335)	(30, 0.04674990528425404)	(31, 0.021875003143385294)	(32, 0.012668212531779256)	(33, 0.01324807466541511)	(34, 0.05985597289653384)	(35, 0.005165506557796959)	(36, 0.0010118002535890952)	(37, 0.015887039069512984)	(38, 0.03897501912509573)	(39, 0.09030465187296356)	(40, 0.6263753604982176)	(41, 0.04570260326738112)	(42, 0.09801445146610152)	(43, 0.02725352028088522)	(44, 0.07487321876559304)	(45, 0.02012949978193042)	(46, 0.0012543956360285856)	(47, 0.002124188836482369)	(48, 1.194598832737525)	(49, 1.1018031404741462)	(50, 0.003988031408883335)	(51, 0.001201142991102844)	(52, 0.0011774751489136254)	(53, 0.0013313161231435463)	(54, 0.0011123885828932742)	(55, 0.001201142991102844)	(56, 0.0013135652415016323)	(57, 0.0819380696590748)	(58, 0.21230646139783815)	(59, 0.2134247669412787)	(60, 0.001248478675481281)	(61, 0.8134933208461799)	(62, 0.029898401645530395)	(63, 0.0455546792536985)	(64, 0.05632354744979296)	(65, 0.07332889206274652)	(66, 0.0852456506050181)	(67, 0.034862731544719)	(68, 0.004911077254262859)	(69, 0.0012603125965758904)	(70, 0.12442776334926947)	(71, 0.0017514203220021763)	(72, 0.0017395864009075671)	(73, 0.0018283408091171367)	(74, 0.43947041072995824)	(75, 0.0014023196497112021)
results | qc | raw | SRR066644	(1, 0.016625717028438552)	(2, 0.03547511687993807)	(3, 0.00013658985399637327)	(4, 0.00016937141895550286)	(5, 0.0003715244028701353)	(6, 0.0001748350131153578)	(7, 0.00019122579559492257)	(8, 0.00016937141895550286)	(9, 0.0005299686335059283)	(10, 0.0011473547735695354)	(11, 0.003420209944069187)	(12, 0.0042670670388467)	(13, 0.0037589527819801927)	(14, 0.003551336203905705)	(15, 0.000475332691907379)	(16, 0.0002841068963124564)	(17, 0.0004425511269482494)	(18, 0.0043490209512445244)	(19, 0.004359948139564234)	(20, 0.00023493454887376204)	(21, 0.0005955317634241874)	(22, 0.00032235205543144094)	(23, 0.0005682137926249128)	(24, 0.0012511630626067792)	(25, 0.010287947803006835)	(26, 0.06100649238894015)	(27, 0.027498269406549865)	(28, 0.023198420802744035)	(29, 0.054395543455515685)	(30, 0.05480531301750481)	(31, 0.03051417338278979)	(32, 0.005070215380345375)	(33, 0.015369090371671919)	(34, 0.06056394126199191)	(35, 0.001333116975004603)	(36, 0.0010872552378111311)	(37, 0.03689018776734049)	(38, 0.033251434056877104)	(39, 0.11115135958808871)	(40, 0.06663399437359073)	(41, 0.05045082847210043)	(42, 0.1302684755534211)	(43, 0.03525657311354387)	(44, 0.08936254607858725)	(45, 0.01367537618211689)	(46, 0.003518554638946575)	(47, 0.004545710340999302)	(48, 0.000863247877257079)	(49, 0.003742561999500628)	(50, 0.0007703667765395453)	(51, 0.0013822893224432974)	(52, 0.0009889105429337424)	(53, 0.002048847809945599)	(54, 0.0011145732086104059)	(55, 0.001021692107892872)	(56, 0.0009233474130154833)	(57, 0.01380650244195341)	(58, 0.01541279912495076)	(59, 0.0008359299064578044)	(60, 0.0009561289779746129)	(61, 0.0012183814976476496)	(62, 0.024575246531027474)	(63, 0.05016672157578797)	(64, 0.06971546147974891)	(65, 0.07680720669924061)	(66, 0.09697879633742502)	(67, 0.043681435308040174)	(68, 0.00433263016876496)	(69, 0.0009670561662943227)	(70, 0.0011091096144505508)	(71, 0.0010544736728520018)	(72, 0.0012293086859673594)	(73, 0.0012402358742870693)	(74, 0.002059774998265309)	(75, 0.0011637455560491)
results | qc | raw | SRR066645	(1, 0.056879194159961156)	(2, 0.005141748924358474)	(3, 0.00013471831242860632)	(4, 0.00018523767958933366)	(5, 0.00013471831242860632)	(6, 0.00020769073166076806)	(7, 0.00027504988787507124)	(8, 0.00023575704675006103)	(9, 0.0010777464994288506)	(10, 0.0026606866704649746)	(11, 0.0024922887799292168)	(12, 0.0007465639813751932)	(13, 0.0012405311269467498)	(14, 0.005248400921697788)	(15, 0.0009598679760538199)	(16, 0.0003760886221965259)	(17, 0.0011282658665895777)	(18, 0.0003592488331429502)	(19, 0.004361505364876129)	(20, 0.00023575704675006103)	(21, 0.0006174589319644456)	(22, 0.0012685974420360427)	(23, 0.002935736558340046)	(24, 0.0004490610414286877)	(25, 0.015183876463307504)	(26, 0.054516010429442686)	(27, 0.012130261381592426)	(28, 0.05042955495244163)	(29, 0.06583234867344562)	(30, 0.0463936188426013)	(31, 0.09474626647843525)	(32, 0.014274527854414411)	(33, 0.0404828528847962)	(34, 0.036042761837670044)	(35, 0.0019421890041790742)	(36, 0.0009823210281252543)	(37, 0.028807265807650317)	(38, 0.034094959570473114)	(39, 0.0795960695932349)	(40, 0.032949853914829956)	(41, 0.049879455176691484)	(42, 0.08183014827434262)	(43, 0.043716092383082744)	(44, 0.07214165630551868)	(45, 0.0182487180710583)	(46, 0.0013920892284289318)	(47, 0.009593066497520342)	(48, 0.005315760077912091)	(49, 0.18818464267370943)	(50, 0.002250918470161297)	(51, 0.006208268897751608)	(52, 0.005018257137965585)	(53, 0.0027841784568578636)	(54, 0.0021330399467862663)	(55, 0.0011507189186610123)	(56, 0.0015099677518039625)	(57, 0.029520150210918358)	(58, 0.025938888405524572)	(59, 0.0012910504941074771)	(60, 0.001307890283161053)	(61, 0.007903474329144903)	(62, 0.037659381586813326)	(63, 0.06688764212080303)	(64, 0.07623372504553759)	(65, 0.0941961667026851)	(66, 0.11773819179958404)	(67, 0.05847897412005086)	(68, 0.018697779112486983)	(69, 0.004153814633215361)	(70, 0.0014369953325718008)	(71, 0.0020432277385005293)	(72, 0.0017850176396790336)	(73, 0.001627846275178993)	(74, 0.0032781456024294203)	(75, 0.0017625645876075992)
results | qc | raw | SRR066646	(1, 0.0001528778057890182)	(2, 9.625639623752998e-05)	(3, 0.0001302292419684229)	(4, 0.0001245671010132741)	(5, 0.003867242272366646)	(6, 0.00013589138292357175)	(7, 0.0010644824995679786)	(8, 7.926997337208351e-05)	(9, 0.0002151613562956553)	(10, 0.0001981749334302088)	(11, 0.0001302292419684229)	(12, 0.0002151613562956553)	(13, 0.00016986422865446468)	(14, 0.00022082349725080407)	(15, 0.00025479634298169703)	(16, 0.00016986422865446468)	(17, 0.0002151613562956553)	(18, 0.0007587268879899423)	(19, 0.00020949921534050645)	(20, 0.0003963498668604176)	(21, 0.000985212526195895)	(22, 0.005282777511153851)	(23, 0.005537573854135548)	(24, 0.027348140813368813)	(25, 0.04649750152368213)	(26, 0.06856286482589709)	(27, 0.08938821925893446)	(28, 0.1055819423906601)	(29, 0.07969463394371967)	(30, 0.07182992015701796)	(31, 0.045517951138441384)	(32, 0.026906493818867207)	(33, 0.020661152345338055)	(34, 0.03567148801743758)	(35, 0.025717444218285954)	(36, 0.041288331844945216)	(37, 0.05424331035032572)	(38, 0.06244775259433637)	(39, 0.055432359950906965)	(40, 0.09043005319468184)	(41, 0.11001539875854162)	(42, 0.13611220642082256)	(43, 0.15793409766196612)	(44, 0.16635370126227242)	(45, 0.2035369809147347)	(46, 0.25825591110529295)	(47, 0.20204217570257543)	(48, 0.21722803774428456)	(49, 0.16436062764606002)	(50, 0.14054000064774894)	(51, 0.11247843007403137)	(52, 0.11978825404712848)	(53, 0.08787076548295458)	(54, 0.07504601621954249)	(55, 0.07373806165890312)	(56, 0.10101825678081014)	(57, 0.11943153916695412)	(58, 0.17323320252277824)	(59, 0.19122182433728602)	(60, 0.18514068495145622)	(61, 0.21774895471215827)	(62, 0.2710580118048844)	(63, 0.23895367258919062)	(64, 0.2739457036920104)	(65, 0.2803665715351491)	(66, 0.208949987667857)	(67, 0.15505773005675053)	(68, 0.09720763591799499)	(69, 0.08086103498048033)	(70, 0.10464768913306054)	(71, 0.11539443266593301)	(72, 0.10693519407894067)	(73, 0.08016459164299704)	(74, 0.09430295760800364)	(75, 0.0985665497472307)
results | qc | raw | SRR066647	(1, 0.00019581908353200113)	(2, 0.00015106043586754373)	(3, 0.00016784492874171524)	(4, 0.0001566552668256009)	(5, 0.0002909312098189731)	(6, 0.00027974154790285873)	(7, 0.776478614513965)	(8, 0.0003748536741898307)	(9, 0.0003133105336512018)	(10, 0.00021260357640617264)	(11, 0.0002070087454481155)	(12, 1.6309603622451632)	(13, 0.0038268643753111074)	(14, 0.004140174908962309)	(15, 0.003580691813156592)	(16, 0.00022938806928034418)	(17, 0.00020141391449005828)	(18, 0.0011749145011920067)	(19, 0.005919331153624491)	(20, 0.00033568985748343047)	(21, 0.0005371037719734888)	(22, 0.0010518282201147488)	(23, 0.02439346297712928)	(24, 0.04272212919572459)	(25, 0.05297745434184339)	(26, 0.0749763296689242)	(27, 0.10564719298099363)	(28, 0.11279738694539071)	(29, 0.09663392030756353)	(30, 0.07293421636923333)	(31, 0.05362085990201996)	(32, 0.027369913046815696)	(33, 0.03339554598864328)	(34, 0.03206957105158373)	(35, 0.038995971777658504)	(36, 0.044529259595177055)	(37, 0.0716977587275027)	(38, 0.06074307971162675)	(39, 0.07183762950145413)	(40, 0.09753468809181073)	(41, 0.1266054297498758)	(42, 0.1606891399463601)	(43, 0.1974919379884602)	(44, 0.18414267132253578)	(45, 0.228101258159991)	(46, 0.23999586877682058)	(47, 0.2223833409208566)	(48, 0.20522399437249522)	(49, 0.1765392960505361)	(50, 0.1520563157780779)	(51, 0.12241490136229098)	(52, 0.1160256044081897)	(53, 0.10378970910291864)	(54, 0.08806263927981993)	(55, 0.0830105069246943)	(56, 0.1164172425752537)	(57, 0.1246080750978494)	(58, 0.19768216224103416)	(59, 0.20393158842118403)	(60, 0.1999480687790473)	(61, 0.2146345000439474)	(62, 0.24799088221588425)	(63, 0.27731898609802)	(64, 0.26461312499227213)	(65, 0.25956099263714655)	(66, 0.20852494463774895)	(67, 0.15960374274049702)	(68, 0.09042925277507811)	(69, 0.08458824925486642)	(70, 0.10772847009739091)	(71, 0.14290317233069638)	(72, 0.11496818135711688)	(73, 0.10560802916428721)	(74, 0.10913836749882132)	(75, 0.11458213802101094)
results | qc | raw | SRR066648	(1, 0.08221669614489427)	(2, 0.0016029463731006151)	(3, 0.0004007365932751538)	(4, 0.00038759768857760774)	(5, 0.0002430697369046015)	(6, 0.0002956253556947856)	(7, 0.000505847830855522)	(8, 0.0007751953771552155)	(9, 0.001405862802637425)	(10, 0.0012876126603595106)	(11, 0.005327825854854914)	(12, 0.00233215558381442)	(13, 0.003041656437481905)	(14, 0.011214055159355535)	(15, 0.0007554870201088965)	(16, 0.0016686408965883455)	(17, 0.0005321256402506142)	(18, 0.00047300056911165695)	(19, 0.019596676356389897)	(20, 0.0006175285207846632)	(21, 0.00045329221206533794)	(22, 0.00040730604562392686)	(23, 0.0026671976536018433)	(24, 0.0012087792321742346)	(25, 0.004440949787770557)	(26, 0.039778033971820594)	(27, 0.019452148404716894)	(28, 0.062068185791207424)	(29, 0.08010790194093813)	(30, 0.040888271418763236)	(31, 0.02995013325805617)	(32, 0.0313297182512985)	(33, 0.03437794414112918)	(34, 0.03394436028611016)	(35, 0.023439805980422113)	(36, 0.01277101536601474)	(37, 0.054027176116309264)	(38, 0.03728164207928685)	(39, 0.11409167894114093)	(40, 0.05541333056190037)	(41, 0.07430050606462278)	(42, 0.07915533135036604)	(43, 0.07705967605110745)	(44, 0.07462897868206143)	(45, 0.014255711596837438)	(46, 0.009078983146004305)	(47, 0.009052705336609212)	(48, 0.005150450641438042)	(49, 0.004230727312609821)	(50, 0.025239835923985918)	(51, 0.017494451604782538)	(52, 0.015333101782036214)	(53, 0.02118648382479297)	(54, 0.003100781508620862)	(55, 0.000952570590572087)	(56, 0.005846812590407982)	(57, 0.02443836273743561)	(58, 0.016719256227627318)	(59, 0.00514388118908927)	(60, 0.0008014731865503076)	(61, 0.008297218316500316)	(62, 0.04086856306171691)	(63, 0.055288510967273684)	(64, 0.05889514030675007)	(65, 0.06765878974001327)	(66, 0.06834858223663444)	(67, 0.009164386026538353)	(68, 0.0016423630871932533)	(69, 0.0010576818281524552)	(70, 0.0010708207328500013)	(71, 0.00590593766154694)	(72, 0.0012022097798254615)	(73, 0.001051112375803682)	(74, 0.002121933108653683)	(75, 0.0011759319704303694)
results | qc | trimmed | SRR066643	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.0)	(64, 0.0)	(65, 0.0)	(66, 0.0)	(67, 0.0)	(68, 0.0)	(69, 0.0)	(70, 0.0)	(71, 0.0)	(72, 0.0)	(73, 0.0)	(74, 0.0)	(75, 0.00020584306113333073)
results | qc | trimmed | SRR066644	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.0)	(64, 0.0)	(65, 0.0)	(66, 0.0)	(67, 0.0)	(68, 0.0)	(69, 0.0)	(70, 0.0)	(71, 0.0)	(72, 0.0)	(73, 0.0)	(74, 0.0)	(75, 0.0)
results | qc | trimmed | SRR066645	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.0)	(64, 0.0)	(65, 0.0)	(66, 0.0)	(67, 0.0)	(68, 0.0)	(69, 0.0)	(70, 0.0)	(71, 0.0)	(72, 0.0)	(73, 0.0)	(74, 0.0)	(75, 0.0)
results | qc | trimmed | SRR066646	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.0)	(64, 0.0)	(65, 0.0)	(66, 0.0)	(67, 0.0)	(68, 0.0)	(69, 0.0)	(70, 0.0)	(71, 0.0)	(72, 0.0)	(73, 0.0)	(74, 0.0)	(75, 0.0)
