Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63
results | qc | raw | SRR066647 - polya	(1, 0.4830800842424887)	(2, 0.48355564487392355)	(3, 0.48404239516727454)	(4, 0.48452914546062553)	(5, 0.4850270854158926)	(6, 0.4854522925687049)	(7, 0.4860061808335526)	(8, 0.4936990734008812)	(9, 0.4943145048062675)	(10, 0.4946725739875832)	(11, 0.49503064316889883)	(12, 0.49543347099787893)	(13, 0.5062482792398034)	(14, 0.5064440983233355)	(15, 0.5066343225759095)	(16, 0.5068357364903995)	(17, 0.5069979865881831)	(18, 0.507277728136086)	(19, 0.5077476939365628)	(20, 0.5079379181891367)	(21, 0.5081113579488366)	(22, 0.5082736080466201)	(23, 0.5085029961159006)	(24, 0.5087267893542228)	(25, 0.5089561774235032)	(26, 0.5091631861689513)	(27, 0.5094037639001477)	(28, 0.5096443416313442)	(29, 0.5099520573340374)	(30, 0.5101254970937371)	(31, 0.5103325058391852)	(32, 0.5105227300917592)	(33, 0.5108192561325362)	(34, 0.5109647217374457)	(35, 0.5111549459900196)	(36, 0.5113955237212161)	(37, 0.511591342804748)	(38, 0.5119046533383993)	(39, 0.5120948775909732)	(40, 0.5122459380268407)	(41, 0.5124473519413308)	(42, 0.5127047141654014)	(43, 0.5129620763894721)	(44, 0.5131970592897105)	(45, 0.5134544215137811)	(46, 0.5136726199211453)	(47, 0.5140250942715029)	(48, 0.5143160254813219)	(49, 0.5144950600719798)	(50, 0.5147020688174279)	(51, 0.5149930000272468)	(52, 0.5151944139417369)	(53, 0.5155412934611364)	(54, 0.5157427073756264)	(55, 0.5160783972331099)	(56, 0.5165427682026287)	(57, 0.5168896477220282)	(58, 0.5171973634247213)	(59, 0.5175834067608273)	(60, 0.5179694500969333)	(61, 0.5182659761377103)	(62, 0.5186520194738162)	(63, 0.5189541403455513)	(64, 0.5193457785126153)
results | qc | raw | SRR066647 - polyg	(1, 0.000128681112035315)	(2, 0.0001790345906578296)	(3, 0.00019581908353200113)	(4, 0.00020700874544811546)	(5, 0.0002461725621545157)	(6, 0.00027414671694480156)	(7, 0.0003245001955673161)	(8, 0.00036366401227371637)	(9, 0.0004252071528123453)	(10, 0.00046437096951874553)	(11, 0.0006042417434701749)	(12, 0.0007944659960441188)	(13, 0.0009231471080794339)	(14, 0.0010853972058630919)	(15, 0.0013707335847240078)	(16, 0.001499414696759323)	(17, 0.0017679665827460673)	(18, 0.0020700874544811545)	(19, 0.002411372142922642)	(20, 0.0026743291979513294)	(21, 0.0030435880411831032)	(22, 0.003418441715372934)	(23, 0.003899597177765851)	(24, 0.004419916456865168)	(25, 0.004996184045545057)	(26, 0.005661968929553861)	(27, 0.0062438313491918074)	(28, 0.007004728359487583)	(29, 0.007732056384035016)	(30, 0.008504143056246905)	(31, 0.00938812634761994)	(32, 0.010411980412944402)	(33, 0.011737955350003952)	(34, 0.01287370603448956)	(35, 0.014529775998074482)	(36, 0.016381665045191406)	(37, 0.01814403679697942)	(38, 0.020146986279963888)	(39, 0.022429677310851215)	(40, 0.024639635539283798)	(41, 0.027437051018312387)	(42, 0.030463854566621318)	(43, 0.033865511789120076)	(44, 0.03744060877131861)	(45, 0.04148567155399395)	(46, 0.04591118284181717)	(47, 0.050515728720298234)	(48, 0.05561821455404638)	(49, 0.06061439859959143)	(50, 0.06637707448639033)	(51, 0.07233556945672122)	(52, 0.07910531491597039)	(53, 0.08607087945875158)	(54, 0.09394840144769608)	(55, 0.10226232025136904)	(56, 0.11157771379653424)	(57, 0.12150294391612766)	(58, 0.1321722865531427)	(59, 0.1429367413164447)	(60, 0.1549544382143515)	(61, 0.1675092388842318)	(62, 0.18126133337913636)	(63, 0.1954554195197274)	(64, 0.20993484203917936)
results | qc | raw | SRR066648 - illumina_universal_adapter	(1, 6.569452348773013e-06)	(2, 3.941671409263808e-05)	(3, 0.0002430697369046015)	(4, 0.00040073659327515384)	(5, 0.0005452645449481601)	(6, 0.0006635146872260744)	(7, 0.0007554870201088965)	(8, 0.0009000149717819029)	(9, 0.00102483456640859)	(10, 0.0011890708751279154)	(11, 0.0013204599221033758)	(12, 0.001478126778473928)	(13, 0.0015898074684030693)	(14, 0.0017277659677273026)	(15, 0.0019971135140269963)	(16, 0.0022336137985828246)	(17, 0.00246354463078988)	(18, 0.002956253556947856)	(19, 0.004493505406560741)	(20, 0.009230080550026084)	(21, 0.013572488552565046)	(22, 0.023577764479746344)	(23, 0.04122988294089943)	(24, 0.06001194720604148)	(25, 0.08996208046409765)	(26, 0.13912786184231488)	(27, 0.2104983921593849)	(28, 0.2998429441026979)	(29, 0.40379138861733327)	(30, 0.5262394109461135)	(31, 0.6657745788340523)	(32, 0.8319620149009632)	(33, 1.029209821672873)	(34, 1.2391301020255658)	(35, 1.4623666622892215)	(36, 1.691174118144637)	(37, 1.9178662103437472)	(38, 2.1458590541079148)	(39, 2.3737467866345017)	(40, 2.6017593387557154)	(41, 2.8430487540737994)	(42, 3.0913412055956755)	(43, 3.334535762094904)	(44, 3.579149320301467)	(45, 3.8274614801803892)	(46, 4.076134959938494)	(47, 4.3234682714174495)	(48, 4.568975275143446)	(49, 4.804818614464397)	(50, 5.0297960796004775)	(51, 5.253098334387621)	(52, 5.4663164798193975)	(53, 5.678476943423022)	(54, 5.887714000731443)	(55, 6.0909991342118746)	(56, 6.297444174272067)	(57, 6.495335787374156)	(58, 6.688523672594524)	(59, 6.87813777573716)	(60, 7.058061936665355)	(61, 7.226489555983198)	(62, 7.387572527575112)	(63, 7.546395607559049)	(64, 7.694122882525907)
results | qc | raw | SRR066648 - polyg	(1, 0.00013795849932423328)	(2, 0.00016423630871932534)	(3, 0.00017080576106809836)	(4, 0.0001970835704631904)	(5, 0.00032847261743865067)	(6, 0.0005781118066920252)	(7, 0.0007489175677601235)	(8, 0.0009000149717819029)	(9, 0.0013007515650570566)	(10, 0.001556960206659204)	(11, 0.001977405156980677)	(12, 0.0028182950576236226)	(13, 0.003494948649547243)	(14, 0.004585477739443564)	(15, 0.00588622930450062)	(16, 0.007620564724576695)	(17, 0.009387747406396637)	(18, 0.011483402705655227)	(19, 0.014025780764630383)	(20, 0.016791520203463823)	(21, 0.020220774329523336)	(22, 0.023505500503909843)	(23, 0.027565422055451566)	(24, 0.031658190868737154)	(25, 0.036105710108856486)	(26, 0.04185398091403287)	(27, 0.047490571029280115)	(28, 0.053508189380756195)	(29, 0.06060319791743105)	(30, 0.06761937302592062)	(31, 0.07526621555989242)	(32, 0.08484447708440347)	(33, 0.0946001138223314)	(34, 0.107548504401763)	(35, 0.12035236702952161)	(36, 0.13427303655657163)	(37, 0.15060469509562133)	(38, 0.17069408037816922)	(39, 0.1913681469197579)	(40, 0.21725835862627232)	(41, 0.24243906947911928)	(42, 0.2701293111291975)	(43, 0.30246415558985834)	(44, 0.33455593031361447)	(45, 0.37039229287617126)	(46, 0.40606441913000874)	(47, 0.44783299716350755)	(48, 0.49065268757281005)	(49, 0.5372695214397034)	(50, 0.587926568501092)	(51, 0.6376836005906988)	(52, 0.6891158430292428)	(53, 0.7452846606112521)	(54, 0.8067681651434186)	(55, 0.8721013687519663)	(56, 0.9457055128676192)	(57, 1.01696436249476)	(58, 1.0996343508517197)	(59, 1.1850569397428152)	(60, 1.2640611736891594)	(61, 1.3459559666689638)	(62, 1.4252295481616077)	(63, 1.5042666293696958)	(64, 1.583533641409991)
results | qc | trimmed | SRR066643 - illumina_universal_adapter	(1, 9.84846656913402e-06)	(2, 2.9545399707402057e-05)	(3, 0.00017727239824441235)	(4, 0.00023636319765921645)	(5, 0.00027575706393575254)	(6, 0.00031515093021228864)	(7, 0.0003545447964888247)	(8, 0.0004234840624727628)	(9, 0.0005318171947332371)	(10, 0.0006992411264085154)	(11, 0.0007977257920998555)	(12, 0.0008371196583763917)	(13, 0.0008765135246529278)	(14, 0.0009356043240677319)	(15, 0.0012015129214343503)	(16, 0.0013492399199713607)	(17, 0.001467421518800969)	(18, 0.0017037847164601853)	(19, 0.0022257534446242884)	(20, 0.005544686678422453)	(21, 0.007671955457355401)	(22, 0.011818159882960822)	(23, 0.019224206742949605)	(24, 0.026452981204693977)	(25, 0.03813326255568692)	(26, 0.05607716864464911)	(27, 0.08070818353405329)	(28, 0.11376948580663619)	(29, 0.14751033227248933)	(30, 0.1880269237379067)	(31, 0.22914427166404122)	(32, 0.2791941787683803)	(33, 0.3327599884379002)	(34, 0.39396820816506817)	(35, 0.4599824795779735)	(36, 0.5238202398791002)	(37, 0.5788633195339903)	(38, 0.6299473156280884)	(39, 0.6827153995055085)	(40, 0.7326471250110179)	(41, 0.7840265751021902)	(42, 0.8371984461089447)	(43, 0.8890506225954353)	(44, 0.9354369001360565)	(45, 0.9803557561578768)	(46, 1.020064773364625)	(47, 1.0532147118363302)	(48, 1.0823858698141053)	(49, 1.1073418841002909)	(50, 1.1288706320204178)	(51, 1.1485183228258402)	(52, 1.1661175325848827)	(53, 1.1817470490300983)	(54, 1.1982432305333979)	(55, 1.2131242635193593)	(56, 1.2268825713164395)	(57, 1.2407689091789185)	(58, 1.2525082813293262)	(59, 1.2632923522225281)	(60, 1.2718014273382598)	(61, 1.279020353333435)	(62, 1.2790302018000042)	(63, 1.2790302018000042)	(64, 1.2790302018000042)
results | qc | trimmed | SRR066644 - illumina_universal_adapter	(1, 9.43848383216035e-06)	(2, 7.55078706572828e-05)	(3, 0.0002076466443075277)	(4, 0.00029259299879697085)	(5, 0.0003869778371185744)	(6, 0.0004530472239436968)	(7, 0.00048136267544017785)	(8, 0.00053799357843314)	(9, 0.0005851859975939417)	(10, 0.0006323784167547434)	(11, 0.0007173247712441865)	(12, 0.0008022711257336298)	(13, 0.0008305865772301108)	(14, 0.0008872174802230729)	(15, 0.0010854256406984402)	(16, 0.0011703719951878834)	(17, 0.0012553183496773266)	(18, 0.0015007189293134956)	(19, 0.0024351288286973702)	(20, 0.005870736943603737)	(21, 0.008806105415405607)	(22, 0.014856173551820392)	(23, 0.025776499345629915)	(24, 0.0361588315610063)	(25, 0.05290270187925876)	(26, 0.07806569977579826)	(27, 0.11169501766978558)	(28, 0.15618803045458948)	(29, 0.20270087877947568)	(30, 0.2576706086179776)	(31, 0.3128196696492905)	(32, 0.38125811591628517)	(33, 0.45174471317485865)	(34, 0.5263842433195827)	(35, 0.6068567564725819)	(36, 0.6834972451897239)	(37, 0.7438280338448928)	(38, 0.8035453210509714)	(39, 0.8578921109565507)	(40, 0.910237942289712)	(41, 0.964216631325837)	(42, 1.0197054777751078)	(43, 1.0767705510243493)	(44, 1.1240573550234725)	(45, 1.17018322551124)	(46, 1.2103911666362432)	(47, 1.2446528629469853)	(48, 1.2755261435619818)	(49, 1.301434781681262)	(50, 1.3215198752760993)	(51, 1.3404723508110772)	(52, 1.3559042718766594)	(53, 1.3723272337446184)	(54, 1.386843621878481)	(55, 1.400548300402778)	(56, 1.413092045415719)	(57, 1.425513090138842)	(58, 1.435404621194946)	(59, 1.4445977044474703)	(60, 1.4514406052257864)	(61, 1.4583684523585922)	(62, 1.4583967678100886)	(63, 1.4583967678100886)	(64, 1.4583967678100886)
results | qc | trimmed | SRR066645 - illumina_universal_adapter	(1, 3.9957956238445906e-05)	(2, 5.993693435766886e-05)	(3, 0.00026971620460950987)	(4, 0.00036961109520562463)	(5, 0.0004295480295632935)	(6, 0.00045951649674212794)	(7, 0.0004894849639209624)	(8, 0.0006093588326363001)	(9, 0.0007092537232324149)	(10, 0.0007791801466496952)	(11, 0.0007991591247689181)	(12, 0.0008191381028881411)	(13, 0.0008690855481861985)	(14, 0.0009290224825438673)	(15, 0.0010988437965572624)	(16, 0.0011787597090341542)	(17, 0.0013485810230475493)	(18, 0.0015383813151801675)	(19, 0.002247635038412582)	(20, 0.0054842294937267)	(21, 0.008091486138285297)	(22, 0.013845431836621507)	(23, 0.023964784254007932)	(24, 0.03375448353242718)	(25, 0.05061674106505135)	(26, 0.0775583930588235)	(27, 0.11800583426119038)	(28, 0.1681830378076188)	(29, 0.22363469157752214)	(30, 0.28979507761932893)	(31, 0.3544270718350152)	(32, 0.43463267949463574)	(33, 0.5237289324173106)	(34, 0.6205071024268265)	(35, 0.7261059912759794)	(36, 0.8250319014333118)	(37, 0.907485144131345)	(38, 0.9921160954443734)	(39, 1.0681261176989572)	(40, 1.1426277271055396)	(41, 1.2211750795812646)	(42, 1.3016603929345543)	(43, 1.378669364095099)	(44, 1.4479964181688028)	(45, 1.5132577501952447)	(46, 1.5708471546239047)	(47, 1.6189665234240531)	(48, 1.6611521357227925)	(49, 1.6956058834893926)	(50, 1.725824087894717)	(51, 1.753544920035139)	(52, 1.776610650273782)	(53, 1.7974187559849526)	(54, 1.8170181335199103)	(55, 1.8356585201051454)	(56, 1.8533598947187768)	(57, 1.8697026988203014)	(58, 1.883158540583598)	(59, 1.8957353073096488)	(60, 1.9054151222084124)	(61, 1.9137663350622476)	(62, 1.913776324551307)	(63, 1.913776324551307)	(64, 1.913776324551307)
results | qc | trimmed | SRR066646 - illumina_universal_adapter	(1, 0.0002206906292551912)	(2, 0.00027876711063813626)	(3, 0.0003716894808508483)	(4, 0.0004413812585103824)	(5, 0.0004646118510635604)	(6, 0.0005226883324465054)	(7, 0.0006156107026592175)	(8, 0.0007201483691485186)	(9, 0.0007549942579782857)	(10, 0.0008130707393612307)	(11, 0.0008595319244675868)	(12, 0.0009176084058505318)	(13, 0.001138299035105723)	(14, 0.0012196061090418461)	(15, 0.0013589896643609143)	(16, 0.0016377567749990504)	(17, 0.0030432076244663207)	(18, 0.0074454049132935555)	(19, 0.011835986905844201)	(20, 0.023509359663816155)	(21, 0.04553196140422892)	(22, 0.06741517958932261)	(23, 0.10310898504728064)	(24, 0.16242830313182072)	(25, 0.25107624431474806)	(26, 0.3658934480088304)	(27, 0.48961958394705657)	(28, 0.632952340000165)	(29, 0.7883650041809259)	(30, 0.972316451313266)	(31, 1.1746432971551701)	(32, 1.388840975791748)	(33, 1.6134227292995964)	(34, 1.8220334504271352)	(35, 2.0302840973700995)	(36, 2.2574560619476274)	(37, 2.489494835665046)	(38, 2.7186065547207643)	(39, 2.9408420183807418)	(40, 3.169070974919439)	(41, 3.3750682543847454)	(42, 3.575478576341012)	(43, 3.7751339040393006)	(44, 3.965787377123233)	(45, 4.144941706893341)	(46, 4.3095420704288845)	(47, 4.445777880456997)	(48, 4.575683354014369)	(49, 4.690361174153131)	(50, 4.793017162645626)	(51, 4.8921537163663125)	(52, 4.981568267103495)	(53, 5.074734558538015)	(54, 5.174544799442745)	(55, 5.271590599833646)	(56, 5.364025127602741)	(57, 5.44694672772131)	(58, 5.509704173503721)	(59, 5.573901916024428)	(60, 5.630677484224395)	(61, 5.692215323897764)	(62, 5.6922966309717)	(63, 5.6922966309717)	(64, 5.6922966309717)
results | qc | trimmed | SRR066647 - illumina_universal_adapter	(1, 0.00013186610315885251)	(2, 0.00024175452245789626)	(3, 0.0003626317836868444)	(4, 0.00046153136105598377)	(5, 0.0004944978868456969)	(6, 0.0005933974642148362)	(7, 0.0006922970415839757)	(8, 0.0008461408286026369)	(9, 0.0009560292479016807)	(10, 0.0010659176672007243)	(11, 0.0011538284026399593)	(12, 0.0012417391380791943)	(13, 0.0015164601863268037)	(14, 0.001615359763695943)	(15, 0.0016812928152753694)	(16, 0.0019560138635229788)	(17, 0.0026483109051069543)	(18, 0.007142747254437844)	(19, 0.009274582588839293)	(20, 0.013747041254310373)	(21, 0.022867780056131003)	(22, 0.0329005927381337)	(23, 0.048735513959125905)	(24, 0.07502082385545716)	(25, 0.11574547204768278)	(26, 0.16777763858578)	(27, 0.22357897790583442)	(28, 0.2881054577182329)	(29, 0.3606867586652513)	(30, 0.44774036443395376)	(31, 0.5448377717265889)	(32, 0.6483966180740076)	(33, 0.7621640985743077)	(34, 0.8697668387519313)	(35, 0.9806662315085263)	(36, 1.1007852626443109)	(37, 1.223058106798357)	(38, 1.3450232633783656)	(39, 1.469307065605584)	(40, 1.5939754773003492)	(41, 1.711665974369625)	(42, 1.8237301843707898)	(43, 1.940113009250407)	(44, 2.050814602852264)	(45, 2.1529009443810754)	(46, 2.2464709334142112)	(47, 2.326238936983387)	(48, 2.402072935141657)	(49, 2.469181792807583)	(50, 2.5295105350027582)	(51, 2.5889162144758213)	(52, 2.642267042045507)	(53, 2.698694745355566)	(54, 2.7604410481596986)	(55, 2.8201763928906587)	(56, 2.8767799176715965)	(57, 2.9263066282496752)	(58, 2.9640752779627566)	(59, 3.002536224717422)	(60, 3.0365027351227565)	(61, 3.074557094726015)	(62, 3.0746120389356646)	(63, 3.0746120389356646)	(64, 3.0746120389356646)
results | qc | trimmed | SRR066648 - illumina_universal_adapter	(1, 0.0)	(2, 3.1555967980369666e-05)	(3, 0.00022089177586258763)	(4, 0.00037867161576443593)	(5, 0.0005364514556662843)	(6, 0.0005995633916270236)	(7, 0.0006731939835812195)	(8, 0.0007468245755354153)	(9, 0.0007994178555026982)	(10, 0.0009046044154372637)	(11, 0.000967716351398003)	(12, 0.0010834215673260251)	(13, 0.0011254961912998513)	(14, 0.0012096454392475037)	(15, 0.0013884625911362652)	(16, 0.0015883170550119398)	(17, 0.001798690174881071)	(18, 0.002103731198691311)	(19, 0.003187152766017336)	(20, 0.006700383867831825)	(21, 0.010161021689679032)	(22, 0.016966592117445424)	(23, 0.028326740590378503)	(24, 0.039792075623246145)	(25, 0.05843113404365116)	(26, 0.0867473559780362)	(27, 0.1292848008155745)	(28, 0.17789151016133725)	(29, 0.23377712945457194)	(30, 0.2962684647116973)	(31, 0.3622204377906699)	(32, 0.4396693018704905)	(33, 0.521378221627661)	(34, 0.611575696771551)	(35, 0.7059070037208693)	(36, 0.7908977441479983)	(37, 0.8707027871703532)	(38, 0.9495716698092904)	(39, 1.0159233518160145)	(40, 1.0838528322217569)	(41, 1.1526448424189626)	(42, 1.2243084457023823)	(43, 1.2929742320276665)	(44, 1.3529831644703363)	(45, 1.4113617052340202)	(46, 1.46342905240163)	(47, 1.5065450233188085)	(48, 1.5439178080635596)	(49, 1.5752108096440929)	(50, 1.6033061398026154)	(51, 1.6284983209069437)	(52, 1.6528490095317956)	(53, 1.675064410989976)	(54, 1.6956704580811572)	(55, 1.713404912086125)	(56, 1.7301821683956882)	(57, 1.7459601523858732)	(58, 1.7592346962496153)	(59, 1.770657956658509)	(60, 1.7804823813563975)	(61, 1.7895389441667635)	(62, 1.789549462822757)	(63, 1.789549462822757)	(64, 1.789549462822757)
